timestamp,jobID,job,company,attempted,result
2020-09-13 19:31:56.542787,2011330357,Data Engineer Azure (100% telecommuting),UST Global España,True,True
2020-09-13 19:32:11.685568,1912377274,EXPERTO EN SNOWFLAKE,FDS a DXC Technology Company,False,False
2020-09-13 19:33:47.066723,1909875266,"Director, Solution Consulting",Pegasystems,False,False
2020-09-13 19:34:01.974528,2016947813,Big Data Analyst,Claire Joster,False,False
2020-09-13 19:34:17.224957,2011268679,Business Analyst - Behaviour Driven Development (BDD),everis,False,False
2020-09-13 19:34:32.050641,2023671541,Statistical Analyst/DBA,IRIUM,False,False
2020-09-13 19:34:47.306715,2011286105,Data Analyst Customer Interaction,ING España&Portugal,False,False
2020-09-13 19:35:02.590592,1964142682,Data Analyst - 6 month Contract - Large Tech Company - Madrid,Orbis Consultants,False,False
2020-09-13 19:36:36.848686,1909875266,"Director, Solution Consulting",Pegasystems,False,False
2020-09-13 19:36:52.158617,2150330727,Power BI Consultant,Bluetab Solutions,False,False
2020-09-13 19:37:21.985238,2011594864,Comercial Senior IT - Business Developer IT,Grupo ICA,True,False
2020-09-13 19:37:37.252680,2011562450,Ingeniero/a de datos,Empresa Confidencial,False,False
2020-09-13 19:37:52.181205,1912377274,EXPERTO EN SNOWFLAKE,FDS a DXC Technology Company,False,False
2020-09-13 19:38:06.970451,2011134365,Business Intelligence Analyst,JUST EAT,False,False
2020-09-13 19:39:41.997811,2002165349,Programador Python,Innova-tsn,False,False
2020-09-13 19:40:07.310070,1912560905,NLP platform developer,Savana Médica,True,True
2020-09-13 19:40:22.629799,2011562450,Ingeniero/a de datos,Empresa Confidencial,False,False
2020-09-13 19:40:52.760317,1989263961,Programador Blockchain,Gfi España,True,True
2020-09-13 19:41:21.197525,2023613246,Data Engineer,YGroup Companies,True,False
2020-09-13 19:43:05.696901,2002029167,Software Engineer Blockchain,Experis España,True,True
2020-09-13 19:43:20.589182,2023684690,Data Engineer,Sogeti,False,False
2020-09-13 19:43:35.530194,1989511155,Data Engineer BI BigData,Linea Directa Aseguradora,False,False
2020-09-13 19:44:05.837275,2011545333,Data Engineer,Business & Decision,True,False
